ticker,entry_date,exit_date,shares,entry_px,exit_px,gain_eur,fee_eur,tax_eur,days_held,exit_reason,ret_net
ANF,2023-10-05,2023-11-06,16.0,54.540000915527344,65.16000366210938,151.5079227331912,12.4,0.0,22,strength,0.1724322021761242
ROAD,2023-09-22,2023-11-15,26.0,35.56999969482422,43.0099983215332,174.83996429443346,12.4,0.0,38,strength,0.18779399560105917
PANW,2023-10-24,2023-11-17,9.0,126.03500366210938,121.5199966430664,-65.4350631713869,12.4,0.0,18,sma,-0.05706305515376232
RRC,2023-11-06,2023-11-29,52.0,34.38814926147461,31.750396484833363,-161.963144385345,12.4,0.0,16,stop,-0.0899503526799126
CHRD,2023-11-06,2023-11-29,12.0,142.60902404785156,140.06240210440302,-55.35946332138269,12.4,0.0,16,egg,-0.03211649191939187
ACGL,2023-11-03,2023-11-30,22.0,81.34937286376953,78.48716892765161,-87.76848659459438,12.4,0.0,18,sma,-0.04870382251877863
CRWD,2023-10-23,2023-11-30,20.0,44.77000045776367,57.79750061035156,241.95000305175768,12.4,0.0,27,strength,0.2683562562055044
NTNX,2023-10-24,2023-12-04,24.0,36.560001373291016,44.349998474121094,168.48646103216663,12.4,0.0,28,strength,0.1907004936366476
CEG,2023-09-22,2023-12-07,17.0,108.25608825683594,111.35822789095855,27.936373780084068,12.4,0.0,53,sma,0.015078300364599083
GIII,2023-10-20,2023-12-08,37.0,24.478195190429688,29.855083724979423,180.4275424450068,12.4,0.0,34,strength,0.19787832174191605
CASY,2023-11-17,2023-12-12,6.0,274.3252868652344,267.331820718864,-66.76079687822266,12.4,0.0,16,egg,-0.04025732058230677
HCI,2023-12-07,2024-01-02,22.0,85.11459350585938,84.19626896407249,-45.00313991931171,12.4,0.0,16,egg,-0.023875344672450134
ROAD,2023-09-22,2024-01-04,26.0,35.56999969482422,41.380001068115234,132.46003570556627,12.4,0.0,71,sma,0.14227410456751752
XPO,2023-11-30,2024-01-04,21.0,86.27999877929688,84.43000030517578,-63.64996795654315,12.4,0.0,23,sma,-0.0348904602642971
COIN,2024-01-02,2024-01-12,12.0,156.8800048828125,137.19000244140625,-261.0800292968752,12.4,0.0,8,stop,-0.1377760064719373
CLSK,2024-01-04,2024-01-12,181.0,10.760000228881836,9.010000228881836,-341.5500000000002,12.4,0.0,6,stop,-0.17426375680150044
