date,AllPass (v5r),Rocket k=0.50
2008-07-09,89962.65337251553,89962.65337251553
2008-07-10,89872.88320039639,89872.88320039639
2008-07-11,89810.84285615811,89810.84285615811
2008-07-14,89616.73334382901,89616.73334382901
2008-07-15,89700.39328645596,89700.39328645596
2008-07-16,89838.10294221768,89838.10294221768
2008-07-17,89945.26288484463,89945.26288484463
2008-07-18,89963.59285615811,89963.59285615811
2008-07-21,89801.44299959073,89801.44299959073
2008-07-22,89811.78305696377,89811.78305696377
2008-07-23,89759.14328645596,89759.14328645596
2008-07-24,90449.10294221768,90449.10294221768
2008-07-25,90387.06331514248,90387.06331514248
2008-07-28,90201.88320039639,90201.88320039639
2008-07-29,90462.73334382901,90462.73334382901
2008-07-30,90690.21317170987,90690.21317170987
2008-07-31,90549.68291353116,90549.68291353116
2008-08-01,90450.04314302334,90450.04314302334
2008-08-04,90345.23334382901,90345.23334382901
2008-08-05,90482.47325776944,90482.47325776944
2008-08-06,90405.86302827725,90405.86302827725
2008-08-07,90381.42282747159,90381.42282747159
2008-08-08,90494.69299959073,90494.69299959073
2008-08-11,90643.21317170987,90643.21317170987
2008-08-12,90722.64328645596,90722.64328645596
2008-08-13,90689.74271272549,90689.74271272549
2008-08-14,90670.94299959073,90670.94299959073
2008-08-15,90590.57340120205,90590.57340120205
2008-08-18,90388.94299959073,90388.94299959073
2008-08-19,90390.35294221768,90390.35294221768
2008-08-20,90335.36302827725,90335.36302827725
2008-08-21,90274.26288484463,90274.26288484463
2008-08-22,90409.15337251553,90409.15337251553
2008-08-25,90183.78774141202,90183.78774141202
2008-08-26,90077.09825776944,90077.09825776944
2008-08-27,90020.55825462613,90020.55825462613
2008-08-28,90020.55825462613,90020.55825462613
2008-08-29,90020.55825462613,90020.55825462613
2008-09-02,90020.55825462613,90020.55825462613
2008-09-03,90020.55825462613,90020.55825462613
2008-09-04,90020.55825462613,90020.55825462613
2008-09-05,90020.55825462613,90020.55825462613
2008-09-08,90020.55825462613,90020.55825462613
2008-09-09,90020.55825462613,90020.55825462613
2008-09-10,90020.55825462613,90020.55825462613
2008-09-11,90020.55825462613,90020.55825462613
2008-09-12,90020.55825462613,90020.55825462613
2008-09-15,90020.55825462613,90020.55825462613
2008-09-16,90020.55825462613,90020.55825462613
2008-09-17,90020.55825462613,90020.55825462613
2008-09-18,90020.55825462613,90020.55825462613
2008-09-19,90020.55825462613,90020.55825462613
2008-09-22,90020.55825462613,90020.55825462613
2008-09-23,90020.55825462613,90020.55825462613
2008-09-24,90020.55825462613,90020.55825462613
2008-09-25,90020.55825462613,90020.55825462613
2008-09-26,90020.55825462613,90020.55825462613
2008-09-29,90020.55825462613,90020.55825462613
2008-09-30,90020.55825462613,90020.55825462613
2008-10-01,90020.55825462613,90020.55825462613
2008-10-02,90020.55825462613,90020.55825462613
2008-10-03,90020.55825462613,90020.55825462613
2008-10-06,90020.55825462613,90020.55825462613
2008-10-07,90020.55825462613,90020.55825462613
2008-10-08,90020.55825462613,90020.55825462613
2008-10-09,90020.55825462613,90020.55825462613
2008-10-10,90020.55825462613,90020.55825462613
2008-10-13,90020.55825462613,90020.55825462613
2008-10-14,90020.55825462613,90020.55825462613
2008-10-15,90020.55825462613,90020.55825462613
2008-10-16,90020.55825462613,90020.55825462613
2008-10-17,90020.55825462613,90020.55825462613
2008-10-20,90020.55825462613,90020.55825462613
2008-10-21,90020.55825462613,90020.55825462613
2008-10-22,90020.55825462613,90020.55825462613
2008-10-23,90020.55825462613,90020.55825462613
2008-10-24,90020.55825462613,90020.55825462613
2008-10-27,90020.55825462613,90020.55825462613
2008-10-28,90020.55825462613,90020.55825462613
2008-10-29,90020.55825462613,90020.55825462613
2008-10-30,90020.55825462613,90020.55825462613
2008-10-31,90020.55825462613,90020.55825462613
2008-11-03,90020.55825462613,90020.55825462613
2008-11-04,90020.55825462613,90020.55825462613
2008-11-05,90020.55825462613,90020.55825462613
2008-11-06,90020.55825462613,90020.55825462613
2008-11-07,90020.55825462613,90020.55825462613
2008-11-10,90020.55825462613,90020.55825462613
2008-11-11,90020.55825462613,90020.55825462613
2008-11-12,90020.55825462613,90020.55825462613
2008-11-13,90020.55825462613,90020.55825462613
2008-11-14,90020.55825462613,90020.55825462613
2008-11-17,90020.55825462613,90020.55825462613
2008-11-18,90020.55825462613,90020.55825462613
2008-11-19,90020.55825462613,90020.55825462613
2008-11-20,90020.55825462613,90020.55825462613
2008-11-21,90020.55825462613,90020.55825462613
2008-11-24,90020.55825462613,90020.55825462613
2008-11-25,90020.55825462613,90020.55825462613
2008-11-26,90020.55825462613,90020.55825462613
2008-11-28,90020.55825462613,90020.55825462613
2008-12-01,90020.55825462613,90020.55825462613
2008-12-02,90020.55825462613,90020.55825462613
2008-12-03,90020.55825462613,90020.55825462613
2008-12-04,90020.55825462613,90020.55825462613
2008-12-05,90020.55825462613,90020.55825462613
