ticker,period,ret,lower_low,lower_high,rim_gap,run_into_base,days_to_earn,exit_reason,sma_dip,sma_vol
MLI,test,-0.0753058581474471,True,True,-0.015715786745545857,0.5093613161551185,48.0,sma,-0.027376912258701314,1.4017489160408796
WYNN,test,-0.02405413510367,False,True,-0.021583464520008255,1.2266441442434148,19.0,sma,-0.0005242302610189986,0.6006906508336745
ITW,test,-0.0575992483696891,False,True,-0.01922079879726213,0.4423023835599065,1.0,sma,-0.0064571576429117705,1.5326501489006845
IBP,test,-0.0360132279838502,False,True,-0.04555033111265683,0.7063813114150175,16.0,sma,-0.010982078425601949,1.9884909494191187
MGM,test,-0.0436251246787234,True,True,-0.0673328025015929,0.694807055438952,50.0,sma,-0.0007546006551486517,1.729719566480595
SPNT,test,-0.1056464175776019,False,True,-0.04417666452792113,1.3942308662205796,689.0,stop,,
OSW,test,-0.0574966773418776,False,True,-0.06818178699036759,0.8600582730656654,33.0,sma,-0.006120872856194892,0.5863254654300861
APG,test,0.1739887395953887,False,False,-0.05599339793161451,0.8168800988917795,78.0,sma,-0.00303280822154961,0.8479631276357842
KTOS,test,-0.0857030304178171,True,True,-0.08498253854553905,0.8962471864766883,63.0,stop,,
ETN,test,0.2614673766065902,True,True,-0.03497601736354228,0.44211795885863836,91.0,sma,-0.004778654255724879,1.1969561198973488
POWL,test,0.2785291709114834,False,True,-0.026846755908993103,2.1371279635876035,15.0,sma,-0.01331814384706198,1.670151174010936
MOG-A,test,0.1737037287721257,False,True,-0.013977301690116573,0.7170668685841319,1.0,sma,-6.898624682460941e-05,0.5071689551923813
PFBC,test,-0.0761332262380418,False,True,-0.0354033715448151,0.7764153696370697,1.0,sma,-0.014760596846182583,0.8707589330447504
CUBI,test,-0.0627314004792549,True,True,-0.09787156891400739,2.724718880393528,90.0,sma,-0.016450703300984748,0.912383659621292
PINS,test,-0.0591703566021912,False,True,-0.006572029284519609,0.8306063358301119,10.0,sma,-0.002402703570338005,4.0465200268480865
INSW,test,-0.0259148238890921,False,True,-0.016768071728392564,0.6795231873140228,68.0,sma,-0.007540035674162282,1.252209009764572
PIPR,test,-0.0255522666543243,False,False,-0.0019398535330142908,0.564502855242847,52.0,sma,-0.016656937982218567,1.0556864883816053
HCA,test,-0.0436629434779758,False,False,-0.019698521187419216,0.5102091255781285,54.0,sma,-0.009426204025553053,3.5467618403462704
STRA,test,-0.1191036818553391,True,True,-0.054351618814615144,0.9435544838473584,15.0,stop,,
GKOS,test,0.0624844019783747,False,True,-0.002072836734115957,1.2295334643572189,90.0,sma,-0.0038120182005805248,1.2573657413814452
USLM,test,-0.037884596212258,True,True,-0.02835733738588142,1.0873206214010875,384.0,sma,-0.01062717893029963,0.8506211965080784
MOG-A,test,-0.045832273016675,False,True,-0.0021272010291817356,0.893915991823329,44.0,sma,-0.01987299029951073,0.8616160554796679
DOCS,test,-0.1149083854256437,False,False,-0.09338777503188778,1.664201853405281,48.0,stop,,
AGX,test,-0.1184024604331691,False,False,-0.028729441073248707,2.915644697072699,76.0,stop,,
TTMI,test,-0.0732393567803049,True,True,-0.03825958228063098,0.9166067677831125,20.0,sma,-0.04075965598991427,1.409398574393342
GMED,test,0.124998024892567,False,True,-0.016504345926995234,0.6880565568276633,21.0,sma,-0.026304128033701746,1.020349770917401
SEIC,test,-0.0521541021502779,True,True,-0.02367764481187118,0.4164540838738553,83.0,sma,-0.00783947221403225,0.8133085147181247
CRH,test,-0.0643074213852586,False,True,-0.020412080817900358,0.668263600192897,20.0,stop,,
NXT,test,-0.0341790576211336,True,True,-0.04887154268673477,0.9683604458453205,27.0,sma,-0.014770061400791623,3.184910376562039
