ticker,start,year,n_evals,len_d,runup126,peak_lag,peak_after_flag_end,tc_err,post_peak_dd,crash
SRE,2012-06-13,2012,3,10,0.3162895340726779,128,True,-30.763157894736878,-0.026914420637351832,False
SRE,2013-05-01,2013,1,0,0.2156796398889036,119,True,-72.75,-0.043569567627736006,False
SRE,2019-07-26,2019,1,0,0.25863187862119963,120,True,-23.618421052631675,-0.4289212532623524,True
SRE,2024-12-05,2024,1,0,0.22393940860475237,0,False,41.44736842105249,-0.2922369235341107,False
SRPT,2017-11-29,2017,1,0,0.7504886105195432,115,True,-33.35526315789457,-0.053113337156557416,False
SRPT,2018-01-22,2018,2,5,0.5123243896945702,104,True,-44.592105263157464,-0.3667772909826902,True
SRPT,2018-04-18,2018,14,100,0.5958998583681774,114,True,-53.07894736842081,-0.39743667262210736,True
SSB,2010-04-09,2010,2,5,0.5200401458017541,16,True,40.776315789473756,-0.3033544795696944,True
SSB,2012-09-21,2012,2,5,0.2585042507698847,118,True,-51.848684210526244,-0.08531855594606952,False
SSB,2014-01-02,2014,1,0,0.2756495931029992,13,True,17.131578947368325,-0.16423521010392061,False
SSD,2017-12-13,2017,1,0,0.35607902346648923,120,True,-53.68421052631584,-0.24083379300268526,False
ST,2021-03-05,2021,3,10,0.35973350818834815,8,False,31.407894736842536,-0.16531011521691175,False
STAA,2017-12-28,2017,1,0,0.4654377013373414,119,True,-76.30263157894751,-0.14823895356023986,False
STAG,2012-11-26,2012,14,95,0.40745652913610275,118,True,-6.618421052631675,-0.2001885050271357,False
STBA,2013-08-23,2013,2,5,0.37111305820261076,68,True,12.98684210526335,-0.1839607000813026,False
STBA,2026-07-08,2026,2,5,0.22436825490999013,14,True,48.23684210526335,-0.055365627188722955,False
STC,2013-01-28,2013,1,0,1.0556826442378826,120,True,-54.21052631578959,-0.05264863102186368,False
STC,2021-12-03,2021,1,0,0.2384031835809417,17,True,43.592105263157464,-0.4196329460396966,True
STE,2015-01-14,2015,1,0,0.22008602964157054,69,True,-6.5,-0.11797742644184372,False
STE,2018-06-21,2018,6,30,0.19462657933017846,98,True,-9.414473684210861,-0.17251205038498152,False
STE,2019-06-20,2019,1,0,0.33928152704233616,37,True,112.80263157894751,-0.30166313540813217,True
STE,2019-08-16,2019,3,10,0.255622196169512,125,True,-32.5,-0.35910070700065166,True
STEP,2024-08-23,2024,1,0,0.5341429349017155,55,True,-21.842105263157464,-0.3827004199822909,True
STEP,2024-10-07,2024,4,45,0.6776092024476654,25,False,17.894736842104976,-0.3827004199822909,True
STLD,2006-05-03,2006,2,5,1.149357174635674,5,False,24.013157894736878,-0.312087871781368,True
STLD,2013-12-03,2013,2,5,0.22846934581747025,17,True,48.46052631578959,-0.19644699989436276,False
STLD,2021-06-22,2021,1,0,0.6853426288833693,37,True,38.657894736842536,-0.27664177474920304,False
STRA,2007-10-01,2007,2,5,0.3713312013749741,26,True,-3.105263157894683,-0.2604227489969768,False
STRA,2018-09-24,2018,2,5,0.36699067661912066,33,True,73.57894736842081,-0.30219652129666263,True
STRL,2017-06-02,2017,6,40,0.26658625432043803,131,True,38.868421052631675,-0.3984418011867593,True
STRL,2023-09-13,2023,2,5,0.8788883260540896,124,True,-51.631578947368325,-0.1377032089308744,False
STRL,2024-07-16,2024,1,0,0.6512755637017937,94,True,-21.96052631578914,-0.4726423165943836,True
STT,2013-03-05,2013,4,20,0.40999173031987146,97,True,-29.565789473684163,-0.08958185766093563,False
STT,2025-12-29,2025,3,10,0.25639795587992875,129,True,-59.394736842104976,-0.021673941882619396,False
STWD,2011-03-01,2011,3,10,0.2710540294925414,6,False,50.118421052631675,-0.2583000359058384,False
STWD,2016-09-21,2016,1,0,0.27356377918977715,106,True,-89.75,-0.040817508819244286,False
STX,2023-12-29,2023,1,0,0.4063768186448473,117,True,-56.53947368421086,-0.1686180531095739,False
STX,2024-02-28,2024,2,5,0.41323686341116783,101,True,-3.796052631578277,-0.3788186462573335,True
STX,2026-02-19,2026,16,95,1.6045427419758642,84,False,13.828947368420813,-0.3181039728717875,True
STZ,2013-11-18,2013,8,40,0.33416915941205416,156,True,-58.401315789473756,-0.09950628720731014,False
STZ,2014-03-17,2014,3,15,0.3945487704988564,76,True,-19.75,-0.09950628720731014,False
STZ,2015-01-14,2015,11,55,0.2428935392814766,169,True,4.684210526315837,-0.05840185322633018,False
STZ,2016-02-03,2016,1,0,0.2465200330697086,118,True,-39.57894736842081,-0.12881798773310138,False
STZ,2017-07-24,2017,1,0,0.30055431948392597,111,True,-89.75,-0.11471222050078989,False
STZ,2017-10-31,2017,5,35,0.26810870874621706,122,True,-15.75,-0.34876936248886425,True
SUI,2015-02-12,2015,5,25,0.26309719673953214,118,True,-20.5,-0.10220341384026965,False
SUI,2019-04-16,2019,3,10,0.23570214832387437,130,True,-71.51315789473665,-0.3460447969200118,True
SUI,2019-06-06,2019,1,0,0.2448617900936101,116,True,-59.94736842105249,-0.3740137804732564,True
SUI,2019-08-09,2019,11,60,0.25942429879264584,134,True,-59.92105263157873,-0.4095910613437851,True
SUI,2021-06-15,2021,1,0,0.23279692017987053,56,True,-5.210526315789139,-0.2578006103942052,False
SUI,2021-08-04,2021,6,30,0.34365007074021525,104,True,-9.625,-0.2777791579537112,False
SUPN,2016-09-21,2016,1,0,0.7798227999019671,113,True,-47.07894736842127,-0.1142857014632025,False
SUPN,2017-06-09,2017,4,20,0.730512122665707,69,True,53.401315789473756,-0.2668680683341721,False
SUPN,2017-08-14,2017,1,0,0.6297709740275907,24,True,101.0,-0.2668680683341721,False
SW,2013-03-18,2013,3,10,0.7127661223711896,124,True,-57.68421052631584,-0.010796232501985692,False
SW,2018-05-01,2018,1,0,0.39979871653501364,83,True,-7.473684210526244,-0.411116024824958,True
SW,2021-02-18,2021,2,5,0.3590764833619544,123,True,-71.55263157894751,-0.34725162059375436,True
SWK,2010-04-23,2010,2,5,0.34671453382434514,4,False,121.65789473684208,-0.23362120144121767,False
SWKS,2010-10-13,2010,6,30,0.29415315684318566,88,True,73.84210526315792,-0.5413736457834915,True
SWKS,2011-01-07,2011,6,25,0.7581393641855576,28,True,107.55921052631584,-0.5413736457834915,True
SWKS,2014-03-31,2014,6,30,0.5147359750960059,123,True,-45.401315789473756,-0.22977538043893642,False
SWKS,2014-07-10,2014,5,35,0.6824742458826409,155,True,-104.14473684210543,-0.11103211224568543,False
SWKS,2014-12-08,2014,17,80,0.48133475570001827,134,True,-40.84210526315792,-0.4910877429584044,True
SWX,2006-07-28,2006,5,40,0.18792429343374328,136,True,-16.526315789473642,-0.29129555349947234,False
SWX,2006-12-05,2006,5,25,0.3456718165922108,95,True,-14.67105263157896,-0.31984612848176075,True
SWX,2016-07-19,2016,3,10,0.3737354995094895,130,True,-41.84210526315792,-0.06900176503347244,False
SXI,2013-01-28,2013,7,40,0.31991855163666827,130,True,-40.723684210526244,-0.12457480384605646,False
SXI,2020-12-07,2020,3,10,0.30834751898848123,63,True,-12.671052631578732,-0.18354689926984136,False
SXI,2021-03-05,2021,3,20,0.7540054965769358,3,False,46.21052631578914,-0.18354689926984136,False
SXT,2013-09-23,2013,5,40,0.23623452911796372,133,True,-66.2894736842104,-0.10958701535526527,False
SXT,2014-03-17,2014,1,0,0.2304875742663517,114,True,-3.7368421052633494,-0.11215612472407521,False
SXT,2020-11-13,2020,7,30,0.6035510601071055,140,True,-72.10526315789457,-0.11295885609156542,False
SXT,2021-05-10,2021,4,30,0.23877840412401508,133,True,-54.41447368420995,-0.2999869586711189,False
SYF,2018-01-12,2018,1,0,0.34826714470869513,9,True,66.0,-0.2741574751850502,False
SYF,2021-02-26,2021,3,15,0.6055757688366887,127,True,-72.7236842105267,-0.3542548728550673,True
SYF,2021-05-17,2021,1,0,0.6294183102404889,108,True,-1.75,-0.4642499524086128,True
SYF,2021-06-22,2021,3,20,0.49716836301175893,83,True,-38.32894736842081,-0.4642499524086128,True
SYF,2021-10-14,2021,1,0,0.20909591566449492,3,True,147.0,-0.4642499524086128,True
SYF,2024-11-27,2024,9,40,0.5795038155775694,160,True,-74.40789473684254,-0.10401490305105521,False
SYK,2007-02-12,2007,10,50,0.32118362435018555,169,True,-95.80921052631584,-0.18832631494850038,False
SYK,2023-04-27,2023,1,0,0.3353876710116215,44,True,6.921052631579187,-0.16560239366153484,False
SYNA,2007-10-29,2007,4,20,0.7934892469581865,6,False,42.026315789473756,-0.6170912108244373,True
SYNA,2014-06-11,2014,1,0,0.7245676695751369,16,True,113.73684210526335,-0.36944326247002224,True
SYNA,2020-01-09,2020,4,15,1.2535119889414905,20,True,48.519736842104976,-0.4373594929598008,True
SYNA,2022-01-10,2022,1,0,0.5710718825973982,2,True,57.01315789473665,-0.6065737051792829,True
T,2007-02-05,2007,4,15,0.25707944111091274,102,True,29.151315789473756,-0.14916354188603775,False
T,2007-04-03,2007,2,5,0.2545500876923428,122,True,-56.34210526315792,-0.17817143261841983,False
T,2012-07-19,2012,2,10,0.20793732264124376,55,True,28.42105263157896,-0.1246697771954276,False
T,2016-08-09,2016,1,0,0.21259594602284104,101,True,39.131578947368325,-0.13181844449694735,False
T,2019-10-07,2019,7,30,0.21134153938589617,73,True,-0.697368421052488,-0.31429293435941075,True
T,2024-11-06,2024,4,15,0.3410800445597879,100,True,-12.171052631578277,-0.13171175462203255,False
T,2025-03-13,2025,9,40,0.2326299046538829,127,True,-43.05263157894751,-0.20593600972400927,False
TAP,2007-03-27,2007,6,30,0.40041436255901774,149,True,-57.68421052631584,-0.22830270530831598,False
TAP,2014-07-17,2014,3,25,0.28520480156926675,140,True,-65.52631578947376,-0.15228166283649036,False
TBBK,2014-01-31,2014,2,5,0.25576790647680014,33,True,177.52631578947376,-0.5955112236769231,True
TBBK,2017-12-28,2017,1,0,0.2816537945272892,96,True,-36.19736842105249,-0.3483432644019401,True
TBBK,2020-02-14,2020,1,0,0.4127659863721964,4,True,60.01315789473665,-0.7377289359886794,True
TCBI,2012-08-02,2012,8,45,0.2845850537341492,45,False,-1.25,-0.25145292321449375,False
TCBI,2016-12-01,2016,10,45,0.49133412579824554,60,True,16.61184210526335,-0.24091163061571652,False
TDC,2009-07-15,2009,1,0,0.6028225939543843,108,True,-54.710526315789366,-0.13778060259846503,False
TDC,2009-12-04,2009,3,10,0.30486760744615227,130,True,-18.75,-0.10187988931594427,False
TDC,2011-01-14,2011,2,5,0.45313974316819805,119,True,0.34210526315791867,-0.3045083073858853,True
TDC,2011-04-05,2011,3,20,0.270025118387734,64,True,26.0,-0.3045083073858853,True
TDC,2011-07-08,2011,2,5,0.40814917363590975,79,True,-38.14473684210543,-0.23817949984889675,False
TDC,2018-01-12,2018,2,10,0.29678513313681076,107,True,-36.73684210526335,-0.22431815754283557,False
TDG,2007-04-12,2007,2,5,0.5474276717347808,116,True,-92.90789473684208,-0.26255308566058155,False
TDG,2009-11-30,2009,1,0,0.26555051101872795,98,True,-26.486842105263122,-0.14087231242293785,False
TDG,2010-02-04,2010,3,10,0.25604961816881056,129,True,-59.526315789473756,-0.028921947883028376,False
TDG,2010-11-04,2010,1,0,0.32546724561072304,102,True,12.736842105263122,-0.12295070807393627,False
TDG,2011-01-18,2011,5,35,0.5289582544877238,117,True,-3.8421052631579187,-0.21407276736994452,False
TDG,2012-04-11,2012,4,15,0.34784657033807265,131,True,-46.92105263157896,-0.08874432188572745,False
TDG,2012-08-31,2012,6,30,0.20225484553609951,149,True,-24.65789473684208,-0.05900011104772418,False
TDG,2013-07-15,2013,3,15,0.18764728928742347,132,True,41.28947368421041,-0.06308535610710952,False
TDG,2014-01-17,2014,8,50,0.25133650949257036,166,True,-49.519736842104976,-0.09649265332023316,False
TDG,2014-08-22,2014,1,0,0.19009492062661582,115,True,20.131578947368325,-0.025694259788127782,False
TDG,2015-01-08,2015,4,15,0.22516763476111312,132,True,-40.157894736842536,-0.2005718830788099,False
TDG,2015-04-07,2015,1,0,0.19212907249770184,92,True,-4.368421052631675,-0.23351747725163452,False
TDG,2024-04-05,2024,1,0,0.5586893864433227,119,True,-16.23684210526335,-0.0869071941113636,False
TDS,2006-11-20,2006,9,40,0.3327555450681259,159,True,-73.86842105263156,-0.4482780116717585,True
TDS,2007-06-07,2007,1,0,0.20724217918789822,29,True,117.84210526315792,-0.4667288952637584,True
TDS,2007-07-13,2007,3,10,0.24470766307497516,4,False,151.0,-0.4667288952637584,True
TDS,2024-12-05,2024,4,15,0.5513340592956648,48,True,19.664473684209952,-0.2117014760032334,False
TDW,2011-03-01,2011,1,0,0.5277003922687831,2,True,28.723684210526244,-0.3558007159059443,True
TDY,2017-11-07,2017,5,20,0.38253165823656854,139,True,-14.26315789473665,-0.06287675392879222,False
