ticker,entry_date,exit_date,entry_px,exit_px,days_held,ret_net,weight,bet_eur,bet_frac,div_eur,exit_reason
FAST,2019-05-01,2019-05-23,17.3174991607666,15.960000038146973,16,-0.07838886608379869,1.0,26911.3936958313,0.1,0.0,egg
CCK,2019-03-12,2019-05-31,54.650001525878906,54.7599983215332,56,0.002012750093011606,1.0,25904.1007232666,0.1,0.0,sma
NOW,2019-05-13,2019-06-05,52.02399826049805,52.4739990234375,16,0.008649868867943944,1.0,26168.071125030518,0.1,0.0,egg
FRPT,2019-05-13,2019-06-26,44.79999923706055,45.93000030517578,31,0.025223238557121386,1.0,26163.19955444336,0.1,0.0,sma
LGIH,2019-05-14,2019-06-26,70.75,69.0999984741211,30,-0.023321576337511085,1.0,25399.25,0.1,0.0,sma
PAYX,2019-05-31,2019-06-26,85.79000091552734,84.0199966430664,18,-0.02063182484639159,1.0,25308.050270080566,0.1,0.0,sma
NVR,2019-05-21,2019-06-27,3309.320068359375,3246.0,26,-0.019133860446072348,1.0,23165.240478515625,0.1,0.0,sma
MSCI,2019-06-05,2019-06-27,234.5,232.22999572753906,16,-0.009680188795142541,1.0,25560.5,0.1,0.0,egg
FICO,2019-05-10,2019-07-12,287.3299865722656,345.44000244140625,43,0.20224138998637198,0.4945054945054945,26147.028778076172,0.1,0.0,strength
ENPH,2019-06-27,2019-07-31,17.920000076293945,26.309999465942383,23,0.4681919282326019,0.5,25840.64011001587,0.1,0.0,strength
MDLZ,2019-06-26,2019-08-01,54.459999084472656,53.38999938964844,25,-0.019647442394638115,1.0,25868.49956512451,0.1,123.5,sma
VCYT,2019-06-27,2019-08-02,26.530000686645508,26.700000762939453,25,0.00640784289084162,1.0,25840.220668792725,0.1,0.0,sma
APD,2019-05-13,2019-08-06,204.5500030517578,221.0,59,0.08042041898224661,1.0,25977.850387573242,0.1,147.32,sma
EL,2019-05-16,2019-08-06,170.6999969482422,175.99000549316406,56,0.03099009161977806,1.0,25946.399536132812,0.1,65.36,sma
PAYC,2019-05-23,2019-08-06,206.77000427246094,225.5,51,0.09058371785328467,1.0,25639.480529785156,0.1,0.0,sma
AON,2019-06-26,2019-08-06,189.88999938964844,183.50999450683594,28,-0.03359842489504106,1.0,25825.039916992188,0.1,59.84,sma
ARWR,2019-07-12,2019-08-06,27.149999618530273,28.280000686645508,17,0.04162066607706283,1.0,27367.199615478516,0.1,0.0,sma
FICO,2019-05-10,2019-08-15,287.3299865722656,327.7699890136719,67,0.1407441072330795,0.5054945054945055,26147.028778076172,0.1,0.0,sma
BRO,2019-08-06,2019-08-28,35.9900016784668,35.380001068115234,16,-0.01694916871083485,1.0,27208.4412689209,0.1,0.0,egg
ENPH,2019-06-27,2019-09-06,17.920000076293945,25.31999969482422,49,0.41294640552594664,0.5,25840.64011001587,0.1,0.0,sma
MTCH,2019-08-01,2019-09-10,75.44000244140625,76.25,27,0.010736976834311074,1.0,28516.320922851562,0.1,0.0,sma
CTAS,2019-08-06,2019-09-10,64.29750061035156,63.38750076293945,24,-0.014152958338564114,1.0,27197.84275817871,0.1,0.0,sma
