ticker,entry_date,exit_date,entry_px,exit_px,days_held,ret_net,weight,bet_eur,bet_frac,div_eur,exit_reason
TWLO,2020-07-14,2020-09-04,223.82000732421875,245.14999389648438,38,0.09092727734826567,0.5070422535211268,15923.00296105957,0.1,0.0,sma
FOXF,2020-08-25,2020-09-04,106.30999755859375,92.93000030517578,8,-0.1293479034365459,1.0,17043.61880859375,0.1,0.0,stop
TSCO,2020-08-11,2020-09-08,29.02199935913086,27.974000930786133,19,-0.039958345819003815,1.0,16750.104974121095,0.1,46.08,sma
TTD,2020-08-12,2020-09-08,46.00299835205078,41.70000076293945,18,-0.09715594239795933,1.0,16317.63153945923,0.1,0.0,sma
AMZN,2020-05-28,2020-09-09,120.05500030517578,160.14950561523438,72,0.3286425873647185,0.5039370078740157,15277.479008834838,0.1,0.0,sma
IDXX,2020-08-11,2020-09-09,374.0299987792969,366.3699951171875,20,-0.02438991140445823,1.0,16490.23458618164,0.1,0.0,sma
CHWY,2020-08-12,2020-09-14,53.150001525878906,54.15999984741211,22,0.014934914666474786,0.501628664495114,16349.684569381714,0.1,0.0,sma
ODFL,2020-09-09,2020-09-22,99.5199966430664,89.50499725341797,9,-0.10422332312878191,1.0,16553.36008163452,0.1,0.0,stop
WST,2020-05-28,2020-09-25,206.02999877929688,261.2699890136719,84,0.2630539076220322,0.5,15276.712349487305,0.1,5.92,sma
PTGX,2020-09-04,2020-09-29,20.520000457763672,20.110000610351562,16,-0.023892752438068765,1.0,16983.41941886902,0.1,0.0,egg
PENN,2020-09-04,2020-09-29,54.150001525878906,72.70999908447266,16,0.33739127546431,0.4984025559105431,16982.848378555296,0.1,0.0,strength
RUN,2020-09-08,2020-09-30,51.88999938964844,71.55000305175781,16,0.37337396676240386,0.4984423676012461,16690.0031836853,0.1,0.0,strength
PINS,2020-09-09,2020-10-02,35.5099983215332,43.20000076293945,17,0.2117022727084048,0.4989247311827957,16545.173517951964,0.1,0.0,strength
AGNT,2020-09-04,2020-10-06,19.309999465942383,25.49250030517578,21,0.31490080471902826,0.5,16988.087890159608,0.1,0.0,strength
TGTX,2020-09-08,2020-10-08,23.959999084472656,31.0,22,0.28865812540867153,0.5,16709.511681518554,0.1,0.0,strength
RUN,2020-09-08,2020-10-22,51.88999938964844,57.0099983215332,32,0.09428433543635584,0.5015576323987538,16690.0031836853,0.1,0.0,sma
AGNT,2020-09-04,2020-10-26,19.309999465942383,22.0,35,0.1347579624406383,0.5,16988.087890159608,0.1,0.0,sma
SAM,2020-09-25,2020-10-26,875.77001953125,1080.7900390625,21,0.22917602105700552,0.47368421052631576,16672.909631835937,0.1,0.0,strength
PENN,2020-09-04,2020-10-27,54.150001525878906,61.43000030517578,36,0.12991263229786698,0.5015974440894568,16982.848378555296,0.1,0.0,sma
TGTX,2020-09-08,2020-10-27,23.959999084472656,26.260000228881836,35,0.09161815058652101,0.5,16709.511681518554,0.1,0.0,sma
NVDA,2020-09-14,2020-10-29,12.872249603271484,12.838500022888184,33,-0.006603436081526581,1.0,16793.18832142639,0.1,0.0,sma
CRL,2020-09-22,2020-10-29,217.3300018310547,221.1999969482422,27,0.013743897170517716,1.0,17203.408284942627,0.1,0.0,sma
FND,2020-09-29,2020-11-02,73.38999938964844,74.41999816894531,24,0.009986550815621609,1.0,18090.047729553222,0.1,0.0,breakeven
RH,2020-10-22,2020-11-02,378.739990234375,338.6300048828125,7,-0.10947299679831146,1.0,18595.376040527342,0.1,0.0,stop
NOW,2020-05-28,2020-11-03,75.59600067138672,95.52200317382812,111,0.25854115253305654,0.5,15300.932919891358,0.1,0.0,sma
SAM,2020-09-25,2020-11-11,875.77001953125,925.0,33,0.05199694518278264,0.5263157894736842,16672.909631835937,0.1,0.0,sma
FCX,2020-10-29,2020-11-20,17.479999542236328,21.40999984741211,16,0.21993886410690422,0.4995278564683664,18548.342154258728,0.1,0.0,strength
DY,2020-10-26,2020-11-24,64.61000061035156,68.3499984741211,21,0.05366264580855318,0.5,19292.287742248536,0.1,0.0,strength
DY,2020-10-26,2020-11-27,64.61000061035156,63.939998626708984,23,-0.014320561374675744,0.5,19292.287742248536,0.1,0.0,breakeven
LSCC,2020-10-29,2020-12-01,34.7599983215332,42.4900016784668,22,0.2175023865598571,0.5,18529.303745269775,0.1,0.0,strength
FIVE,2020-10-27,2020-12-04,135.25,162.6300048828125,27,0.19763980263537162,0.49640287769784175,18837.3495,0.1,0.0,strength
GSHD,2020-11-27,2020-12-08,122.83999633789062,112.05999755859375,7,-0.09139811473169868,1.0,20309.136594543455,0.1,0.0,stop
MPWR,2020-11-02,2020-12-10,315.260009765625,307.3900146484375,27,-0.028855867164536808,1.0,18321.65072753906,0.1,0.0,sma
WOR,2020-11-02,2020-12-18,31.029592514038086,31.226879119873047,33,0.002340617451639826,1.0,18561.716064342498,0.1,92.016207,sma
CROX,2020-11-11,2021-01-07,55.40999984741211,68.48999786376953,38,0.23112407302832194,0.5,19432.286946487427,0.1,0.0,strength
DAR,2020-12-08,2021-01-07,50.70000076293945,64.30999755859375,20,0.26337810764403713,0.5,20726.971511901855,0.1,0.0,strength
ROCK,2020-12-10,2021-01-07,68.8499984741211,93.30000305175781,18,0.3497102397857541,0.5,20558.334144378663,0.1,0.0,strength
